parent_class_p	log2FC_p	padj_p	parent_class_h	log2FC_h	padj_h	gene_id	classification
555	equal	0.832936553894279	0.0469396152416913	equal	-0.241131857655388	0.94456638616363	lcl|NC_030664.1_cds_XP_017610338.1_732	PEI eq
556	equal	-0.538600223448008	0.139934412399668	G_raimondii	-1.09579605634913	0.0252637308412254	lcl|NC_030664.1_cds_XP_017610348.1_733	HEBi
560	equal	0.559059637784119	0.0847427485930247	equal	0.121402291479909	0.940171755520755	lcl|NC_030664.1_cds_XP_017632900.1_739	PEI eq
561	G_raimondii	-1.27374720694221	4.3951855068511e-07	equal	-0.93673191028012	0.53695757191953	lcl|NC_030664.1_cds_XP_017604428.1_741	HEBl
567	equal	-0.272446318816608	0.634837840146151	equal	-0.142728896321903	0.953099495922449	lcl|NC_030664.1_cds_XP_017612240.1_752	PEI eq
568	equal	-0.539657292819891	0.267377272826863	equal	-0.415960923020388	0.789374033783332	lcl|NC_030664.1_cds_XP_017631619.1_754	PEI eq
569	equal	-0.269931011861626	0.423319145091233	equal	-0.598276889149453	0.28772997983693	lcl|NC_030664.1_cds_XP_017603294.1_755	PEI eq
574	equal	0.397286374957217	0.2275531002956	equal	0.288870240821325	0.922351219097524	lcl|NC_030664.1_cds_XP_017641503.1_760	PEI eq
579	equal	0.290518041665269	0.277901689287172	equal	0.151822581994138	0.914002055117273	lcl|NC_030664.1_cds_XP_017642052.1_767	PEI eq
582	equal	-0.514831056866783	0.380006243485553	equal	-0.200999283999667	0.951987741085601	lcl|NC_030664.1_cds_XP_017625723.1_770	PEI eq
584	equal	0.141117747373408	0.785885822195795	equal	0.45626722502663	0.857385691641826	lcl|NC_030664.1_cds_XP_017609619.1_773	PEI eq
585	equal	-0.0630641617654471	0.939395461681099	equal	-0.167753198795177	0.955443682553266	lcl|NC_030664.1_cds_XP_017641940.1_774	PEI eq
587	equal	-0.342171751894737	0.481633636945878	equal	0.2684721947029	0.930785324256024	lcl|NC_030664.1_cds_XP_017625967.1_777	PEI eq
588	equal	-0.362519283477957	0.480056854097103	equal	-0.553234674076867	0.780950948359756	lcl|NC_030664.1_cds_XP_017619852.1_779	PEI eq
597	equal	0.525831626805973	0.123770492993151	equal	0.80314645546518	0.258540857712585	lcl|NC_030664.1_cds_XP_017610635.1_788	PEI eq
598	equal	0.242178390215646	0.623092528828058	equal	-0.227637920972847	0.937851886676761	lcl|NC_030664.1_cds_XP_017647616.1_789	PEI eq
600	equal	-0.0231359755778443	0.985386482486427	equal	-0.166829392875265	0.902418029648536	lcl|NC_030664.1_cds_XP_017622432.1_793	PEI eq
602	equal	0.0437321028877463	0.964592194074099	equal	1.34380164192728	0.596581862496346	lcl|NC_030664.1_cds_XP_017624816.1_795	PEI eq
606	equal	0.337306531473846	0.39125532573929	equal	0.389955749348752	0.746720736934594	lcl|NC_030664.1_cds_XP_017609895.1_799	PEI eq
613	equal	0.204761023761626	0.681485785370592	equal	-0.403063965413282	0.789374033783332	lcl|NC_030664.1_cds_XP_017614894.1_809	PEI eq
618	equal	-0.804872501283493	0.00776324115803141	equal	-0.548756732469261	0.621552673055472	lcl|NC_030664.1_cds_XP_017608480.1_817	PEI eq
